,Parent Org,Org name,A&E attendances Type 1,Total Admissions,Type 1 Proportion attendances over 4hrs,Proportion waiting over 4hrs for admission,Proportion waiting over 12hrs for admission
3,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5880,1591,0.5612244897959183,0.2740414833438089,0.2174732872407291
4,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15501,3391,0.39661957293077865,0.4219994102034798,0.003538779121203185
13,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,10318,3101,0.6035084318666408,0.5191873589164786,0.2034827475008062
25,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,21193,5149,0.5558439107252394,0.5591376966401242,0.25228199650417554
34,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5833,1744,0.7100977198697068,0.45756880733944955,0.15137614678899083
35,NHS ENGLAND MIDLANDS ,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,7278,839,0.4413300357241,0.0,0.0
43,NHS ENGLAND SOUTH EAST ,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,12426,3622,0.4801223241590214,0.2622860298177802,0.0016565433462175593
44,NHS ENGLAND NORTH EAST AND YORKSHIRE ,GATESHEAD HEALTH NHS FOUNDATION TRUST,6989,1778,0.4541422234940621,0.6484814398200225,0.3025871766029246
61,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,13390,3862,0.0,0.3964267219057483,0.0859658208182289
62,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,11338,2875,0.36487916740165816,0.38330434782608697,0.036521739130434785
63,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",12267,4360,0.7141925491155132,0.43555045871559633,0.18463302752293578
64,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,13386,5280,0.6403705363812939,0.39640151515151517,0.2441287878787879
65,NHS ENGLAND LONDON,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,15731,3689,0.6049837899688513,0.7253998373542966,0.3277310924369748
67,NHS ENGLAND MIDLANDS ,THE DUDLEY GROUP NHS FOUNDATION TRUST,9287,3520,0.46150533003122646,0.22443181818181818,0.01903409090909091
69,NHS ENGLAND NORTH WEST ,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",8551,2248,0.5543211320313414,0.6650355871886121,0.1152135231316726
70,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8472,2610,0.4868980169971671,0.6061302681992338,0.4279693486590038
71,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,10150,4204,0.5113300492610837,0.200523311132255,0.109895337773549
77,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,12884,4532,0.5530891027631171,0.3481906443071492,0.01654898499558694
78,NHS ENGLAND SOUTH WEST ,YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST,6170,1780,0.3648298217179903,0.08651685393258426,0.0
80,NHS ENGLAND LONDON,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,6437,1636,0.6551188441820724,0.5580684596577017,0.06723716381418093
81,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,8076,2140,0.5730559683011391,0.4369158878504673,0.2925233644859813
82,NHS ENGLAND MIDLANDS ,WALSALL HEALTHCARE NHS TRUST,8345,3035,0.4532055122828041,0.4724876441515651,0.08533772652388798
83,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD CHILDREN'S NHS FOUNDATION TRUST,6357,1057,0.23548843794242566,0.000946073793755913,0.0
84,NHS ENGLAND SOUTH EAST ,FRIMLEY HEALTH NHS FOUNDATION TRUST,20666,5565,0.0,0.41275831087151843,0.0
85,NHS ENGLAND EAST OF ENGLAND ,NORTH WEST ANGLIA NHS FOUNDATION TRUST,13719,3283,0.6028865077629565,0.418519646664636,0.2162656107219007
86,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6977,1904,0.0,0.5908613445378151,0.3182773109243697
87,NHS ENGLAND EAST OF ENGLAND ,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10519,2730,0.0,0.4655677655677656,0.22124542124542124
88,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,4338,1005,0.5345781466113416,0.7980099502487562,0.6019900497512438
89,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6853,1634,0.5323216109732963,0.7674418604651163,0.5042839657282742
90,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,9251,2383,0.475948546103124,0.6076374318086446,0.27192614351657574
91,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,9446,2222,0.0,0.6696669666966697,0.0
93,NHS ENGLAND LONDON,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,11180,1749,0.279695885509839,0.29559748427672955,0.02858776443682104
94,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,16098,4169,0.6768542676108833,0.49388342528184215,0.20916286879347565
95,NHS ENGLAND SOUTH EAST ,SURREY AND SUSSEX HEALTHCARE NHS TRUST,8973,3046,0.500835840855901,0.46421536441234407,0.18844386080105055
96,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,19439,4718,0.2585523946705077,0.2793556591776176,0.024162780839338704
100,NHS ENGLAND EAST OF ENGLAND ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,30801,8585,0.45482289536054027,0.38963308095515437,0.0018637157833430401
101,NHS ENGLAND NORTH WEST ,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,7420,1273,0.4026954177897574,0.0,0.0
102,NHS ENGLAND EAST OF ENGLAND ,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,15452,4290,0.0,0.05687645687645688,0.016083916083916083
103,NHS ENGLAND NORTH EAST AND YORKSHIRE ,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,9639,3824,0.5583566760037348,0.5010460251046025,0.3226987447698745
104,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",7364,2207,0.4429657794676806,0.5758948799275034,0.2967829632985954
105,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,6169,2185,0.6179283514345923,0.5986270022883295,0.3116704805491991
106,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11249,3595,0.5457373988799005,0.4122392211404729,0.11710709318497914
107,NHS ENGLAND MIDLANDS ,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,10145,3433,0.433218334154756,0.42732304107194874,0.14622778910573841
108,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,13046,5374,0.4170627012110992,0.2915891328619278,0.09062151097878675
109,NHS ENGLAND SOUTH EAST ,DARTFORD AND GRAVESHAM NHS TRUST,13342,2795,0.3874231749362914,0.33273703041144903,0.00966010733452594
110,NHS ENGLAND SOUTH WEST ,SALISBURY NHS FOUNDATION TRUST,3924,1213,0.44240570846075433,0.43528441879637264,0.06183017312448475
111,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,32718,9356,0.5010086191087475,0.5584651560495938,0.19559640872167594
112,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,12571,1381,0.39925224723570124,0.39608979000724115,0.07023895727733527
